City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,54,12.93,light rain
106,Broken Hill,AU,-31.95,141.4333,73.35,35,100,11.01,overcast clouds
107,Linkou,CN,45.3,130.2833,11.28,85,100,7.05,overcast clouds
108,Constitucion,CL,-35.3333,-72.4167,71.02,60,6,17.31,clear sky
109,Hella,NO,67.2,14.4333,32.14,87,100,6.91,overcast clouds
110,Kumbhraj,IN,24.3667,77.05,59.04,39,0,4.5,clear sky
111,Talara,PE,-4.5772,-81.2719,79.56,53,0,14.97,clear sky
112,Kahului,US,20.8947,-156.47,75.85,83,20,4.61,few clouds
113,Tete,MZ,-16.1564,33.5867,95.09,36,40,20.71,scattered clouds
114,Lodwar,KE,3.1191,35.5973,84.0,47,37,15.82,scattered clouds
115,Necochea,AR,-38.5473,-58.7368,75.2,52,100,18.05,overcast clouds
116,Ondjiva,AO,-17.0667,15.7333,83.71,17,15,7.29,few clouds
117,Mitsamiouli,KM,-11.3847,43.2844,80.26,79,17,10.13,few clouds
118,Beni Suef,EG,29.0731,31.0979,62.1,53,23,5.39,few clouds
119,Camacupa,AO,-12.0167,17.4833,64.6,82,58,4.05,broken clouds
120,Bluff,NZ,-46.6,168.3333,41.81,77,4,16.67,clear sky
121,Punta Arenas,CL,-53.15,-70.9167,48.31,43,20,34.52,few clouds
122,Yulara,AU,-25.2406,130.9889,82.38,35,66,14.65,broken clouds
123,Salta,AR,-24.7859,-65.4117,93.79,29,20,12.66,few clouds
124,Kupang,ID,-10.1667,123.5833,78.35,79,52,4.05,broken clouds
125,Baruun-Urt,MN,46.6806,113.2792,6.84,78,38,10.76,scattered clouds
126,Ahipara,NZ,-35.1667,173.1667,60.08,93,100,12.59,overcast clouds
127,Margate,GB,51.3813,1.3862,41.7,88,25,5.99,scattered clouds
128,Antofagasta,CL,-23.65,-70.4,67.28,64,41,10.11,scattered clouds
129,Huarmey,PE,-10.0681,-78.1522,72.63,70,10,12.03,clear sky
130,Obo,CF,5.3998,26.4869,81.16,37,33,3.36,scattered clouds
131,Port Elizabeth,ZA,-33.918,25.5701,68.29,78,0,9.22,clear sky
132,Jacareacanga,BR,-6.2222,-57.7528,91.11,53,88,3.2,overcast clouds
133,Fortuna,US,40.5982,-124.1573,43.99,96,0,9.22,clear sky
134,Adrar,MR,20.5022,-10.0711,82.22,27,0,3.15,clear sky
135,Avarua,CK,-21.2078,-159.775,75.25,94,75,10.36,moderate rain
136,Talnakh,RU,69.4865,88.3972,27.21,96,100,16.98,snow
137,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,40,12.68,light intensity shower rain
138,Vardo,NO,70.3705,31.1107,30.18,86,75,17.27,broken clouds
139,Port Alfred,ZA,-33.5906,26.891,67.17,83,13,3.0,few clouds
140,Acarau,BR,-2.8856,-40.12,86.68,55,42,20.58,scattered clouds
141,Tasiilaq,GL,65.6145,-37.6368,14.67,66,38,9.78,scattered clouds
142,Mercedes,AR,-34.6515,-59.4307,101.86,9,0,7.36,clear sky
143,Yining,CN,29.0361,114.5636,45.3,86,100,1.28,overcast clouds
144,Barrow,US,71.2906,-156.7887,12.22,92,0,19.57,clear sky
145,Hofn,IS,64.2539,-15.2082,33.58,64,75,7.36,broken clouds
146,Kautokeino,NO,69.0125,23.0412,17.67,93,100,3.83,overcast clouds
147,Umm Lajj,SA,25.0213,37.2685,74.97,69,5,9.6,clear sky
148,Hambantota,LK,6.1241,81.1185,78.01,82,100,5.75,overcast clouds
149,Tateyama,JP,34.9833,139.8667,53.53,71,75,11.5,broken clouds
150,Emerald,AU,-23.5333,148.1667,76.98,49,0,0.38,clear sky
151,Xinan,CN,26.72,119.8556,55.18,80,100,6.64,overcast clouds
152,Alofi,NU,-19.0595,-169.9187,69.69,100,48,1.14,moderate rain
153,Qaqortoq,GL,60.7167,-46.0333,34.38,98,100,5.21,snow
154,Altay,CN,47.8667,88.1167,2.12,79,37,6.46,scattered clouds
155,Saint Anthony,US,45.0205,-93.218,25.12,72,75,5.75,broken clouds
