City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Berbera,SO,76.59,few clouds,10.4396,45.0143,Al Madina Hotel
540,Betioky,MG,75.79,moderate rain,-23.7167,44.3833,Hotel Salema
549,Mayumba,GA,76.24,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
556,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,La Gaviota
561,Mount Isa,AU,73.17,light rain,-20.7333,139.5,Ibis Styles
564,Porto Velho,BR,82.45,light rain,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
567,Mana,GF,81.79,scattered clouds,5.6592,-53.7767,Le Samana
569,Samut Sakhon,TH,82.04,overcast clouds,13.5833,100.3,Grand Inter Hotel
584,Sarandi,BR,80.35,broken clouds,-23.4436,-51.8739,San Lucas Hotel
587,Ilhabela,BR,76.77,light rain,-23.7781,-45.3581,Vila Kebaya
588,Niquelandia,BR,81.72,moderate rain,-14.4739,-48.4597,Serrano Hotel
589,Progreso,MX,86.11,scattered clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
590,Garowe,SO,75.18,overcast clouds,8.4054,48.4845,Red Sea
596,Sur,OM,73.51,clear sky,22.5667,59.5289,Sur Hotel
599,Kikwit,CD,70.84,overcast clouds,-5.041,18.8162,Grand Hôtel de Kikwit
602,Soyo,AO,76.1,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
611,Gizo,SB,81.52,light rain,-8.103,156.8419,Gizo Hotel
614,Rawson,AR,75.18,clear sky,-43.3002,-65.1023,Hotel Deportivo
617,Hervey Bay,AU,73.08,clear sky,-25.2986,152.8535,Hervey Bay Hotel
619,Puerto Colombia,CO,89.69,scattered clouds,10.9878,-74.9547,Hotel Puerto Colombia
633,Bartica,GY,86.32,scattered clouds,6.4,-58.6167,Rockville Hotel
635,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Deyna's City Inn
636,Tabou,CI,79.63,overcast clouds,4.423,-7.3528,hôtel le rochet
644,Nicoya,CR,83.88,clear sky,10.1483,-85.452,Hotel marianela
646,Tevaitoa,PF,79.5,light rain,-16.7833,-151.5,Chambre d'hote
