City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Upata,VE,2022-12-01 01:43:15,8.0086,-62.3989,74.19,96,6,3.38
103,Opuwo,NA,2022-12-01 01:43:15,-18.0607,13.84,70.48,49,63,3.74
104,Morro Bay,US,2022-12-01 01:38:17,35.3658,-120.8499,57.18,79,100,2.01
105,Poum,NC,2022-12-01 01:43:16,-20.2333,164.0167,81.9,81,100,15.57
106,Okhotsk,RU,2022-12-01 01:43:16,59.3833,143.3,-2.02,98,100,12.73
107,Kalofer,BG,2022-12-01 01:43:16,42.6167,24.9833,36.88,100,100,2.01
108,Georgetown,MY,2022-12-01 01:40:30,5.4112,100.3354,82.33,87,20,9.22
109,La Libertad,EC,2022-12-01 01:43:17,-2.2333,-80.9,71.64,81,87,9.75
110,Acara,BR,2022-12-01 01:43:17,-1.9608,-48.1967,73.22,96,97,3.27
111,Chapleau,CA,2022-12-01 01:42:08,47.8405,-83.4034,23.09,80,100,14.97
112,Banda Aceh,ID,2022-12-01 01:43:18,5.5577,95.3222,81.07,73,100,1.63
113,Ratnagiri,IN,2022-12-01 01:43:18,16.9833,73.3,71.92,45,48,6.42
114,Vila Velha,BR,2022-12-01 01:43:19,-20.3297,-40.2925,76.95,97,100,6.91
115,Alice Springs,AU,2022-12-01 01:43:19,-23.7,133.8833,81.95,17,0,11.5
116,Hampton,US,2022-12-01 01:41:27,37.0299,-76.3452,62.62,70,75,18.41
117,Spearfish,US,2022-12-01 01:43:16,44.4908,-103.8594,25.09,51,0,4.61
118,Lebu,CL,2022-12-01 01:43:20,-37.6167,-73.65,53.15,76,0,22.01
119,Dikson,RU,2022-12-01 01:43:20,73.5069,80.5464,22.6,95,100,13.33
120,Carnarvon,AU,2022-12-01 01:40:58,-24.8667,113.6333,75.09,63,7,9.22
121,Chimoio,MZ,2022-12-01 01:43:21,-19.1164,33.4833,64.26,100,40,3.89
122,Ust-Tsilma,RU,2022-12-01 01:43:21,65.441,52.1498,-5.01,100,100,3.29
123,Genhe,CN,2022-12-01 01:43:21,50.7833,121.5167,-19.88,90,39,4.14
124,Tombouctou,ML,2022-12-01 01:43:22,20.0,-3.0,67.21,21,99,10.71
125,Ilulissat,GL,2022-12-01 01:43:22,69.2167,-51.1,23.02,80,100,24.16
126,North Bend,US,2022-12-01 01:43:22,43.4065,-124.2243,47.07,94,100,9.22
127,Katangli,RU,2022-12-01 01:43:23,51.7102,143.2326,-0.8,82,27,12.5
128,Riyadh,SA,2022-12-01 01:41:38,24.6877,46.7219,62.74,35,100,8.41
129,Sitka,US,2022-12-01 01:43:23,57.0531,-135.33,26.49,33,0,3.44
130,Harper,LR,2022-12-01 01:43:24,4.375,-7.7169,76.8,87,100,3.04
131,Madimba,TZ,2022-12-01 01:43:24,-10.4,40.3333,75.42,89,27,4.83
132,Namatanai,PG,2022-12-01 01:43:24,-3.6667,152.4333,86.7,62,87,6.08
133,Saldanha,ZA,2022-12-01 01:39:46,-33.0117,17.9442,62.65,92,100,6.71
134,Kavieng,PG,2022-12-01 01:43:36,-2.5744,150.7967,84.79,66,97,4.29
135,Amapa,BR,2022-12-01 01:44:25,1.0,-52.0,71.35,98,100,2.46
136,Oistins,BB,2022-12-01 01:42:20,13.0667,-59.5333,78.89,78,40,9.22
137,Lavrentiya,RU,2022-12-01 01:44:26,65.5833,-171.0,18.99,92,85,6.85
138,Burdur,TR,2022-12-01 01:44:26,37.7203,30.2908,43.5,100,40,0.0
139,Desaguadero,PE,2022-12-01 01:44:26,-16.5656,-69.0417,49.39,23,0,7.43
140,Hofn,IS,2022-12-01 01:44:27,64.2539,-15.2082,47.62,87,89,15.99
141,College,US,2022-12-01 01:44:27,64.8569,-147.8028,6.21,80,100,0.0
142,Sungairaya,ID,2022-12-01 01:44:28,0.7,108.9,81.95,77,99,2.62
143,Mount Isa,AU,2022-12-01 01:44:28,-20.7333,139.5,89.37,17,0,16.11
144,Norman Wells,CA,2022-12-01 01:44:28,65.282,-126.8329,-9.36,77,100,2.3
145,Biryusinsk,RU,2022-12-01 01:44:29,55.9634,97.8235,-0.22,93,100,16.51
146,Tiznit,MA,2022-12-01 01:41:37,29.5833,-9.5,54.0,76,93,2.24
147,Severo-Kurilsk,RU,2022-12-01 01:44:29,50.6789,156.125,29.57,67,98,24.47
148,Cockburn Town,TC,2022-12-01 01:41:41,21.4612,-71.1419,81.14,67,58,19.84
149,Souillac,MU,2022-12-01 01:44:30,-20.5167,57.5167,70.18,94,75,3.44
150,Amherst,US,2022-12-01 01:44:30,41.3978,-82.2224,31.48,68,100,21.99
151,Ancud,CL,2022-12-01 01:44:31,-41.8697,-73.8203,46.22,79,3,6.35
152,Placerville,US,2022-12-01 01:44:31,38.7296,-120.7986,47.43,69,100,3.44
153,Kieta,PG,2022-12-01 01:44:31,-6.2167,155.6333,83.48,76,99,6.91
154,Hambantota,LK,2022-12-01 01:44:32,6.1241,81.1185,73.74,100,20,2.3
155,East London,ZA,2022-12-01 01:40:17,-33.0153,27.9116,70.39,90,100,1.99
156,Zeya,RU,2022-12-01 01:44:32,53.75,127.2667,-10.39,77,7,3.27
157,Ouadda,CF,2022-12-01 01:44:33,8.0777,22.4007,71.98,67,100,3.02
158,Pevek,RU,2022-12-01 01:44:33,69.7008,170.3133,9.09,91,100,4.47
159,Kodiak,US,2022-12-01 01:44:33,57.79,-152.4072,26.11,74,0,4.61
160,Nishihara,JP,2022-12-01 01:44:34,26.1842,127.7558,67.28,77,75,18.41
161,Yar-Sale,RU,2022-12-01 01:44:34,66.8333,70.8333,-8.54,99,8,6.22
162,Liverpool,GB,2022-12-01 01:44:34,53.4106,-2.9779,43.34,94,75,5.75
163,Vera Cruz,BR,2022-12-01 01:42:55,-12.6333,-41.0333,72.97,92,58,2.26
164,Port Blair,IN,2022-12-01 01:44:35,11.6667,92.75,82.44,83,40,3.44
165,Savelugu,GH,2022-12-01 01:44:35,9.6244,-0.8253,78.93,25,17,5.19
166,Qasigiannguit,GL,2022-12-01 01:44:36,68.8193,-51.1922,23.25,95,100,4.29
167,Haines Junction,CA,2022-12-01 01:44:36,60.7522,-137.5108,0.18,84,98,1.45
168,Westport,US,2022-12-01 01:44:36,41.1415,-73.3579,53.64,68,100,24.16
169,Tecoanapa,MX,2022-12-01 01:44:37,16.5167,-98.75,79.72,77,99,1.48
170,Spencer,US,2022-12-01 01:44:37,43.1414,-95.1444,11.71,67,0,5.75
171,Port Hedland,AU,2022-12-01 01:44:37,-20.3167,118.5667,91.45,58,10,10.36
172,Lima,PE,2022-12-01 01:40:27,-12.0432,-77.0282,68.25,68,0,12.66
173,Cherskiy,RU,2022-12-01 01:44:38,68.75,161.3,11.08,95,100,6.31
174,Thompson,CA,2022-12-01 01:44:38,55.7435,-97.8558,-18.24,76,0,9.22
175,Buraydah,SA,2022-12-01 01:44:39,26.326,43.975,63.05,58,99,12.88
176,Lokosovo,RU,2022-12-01 01:44:39,61.1333,74.8167,-17.21,99,41,1.19
177,Hamilton,US,2022-12-01 01:44:40,39.1834,-84.5333,33.44,63,0,14.97
178,Bafoussam,CM,2022-12-01 01:44:40,5.4737,10.4179,59.47,67,97,2.08
179,Senno,RU,2022-12-01 01:44:40,59.5336,33.9167,14.22,87,66,4.34
180,Manyana,BW,2022-12-01 01:44:41,-23.4,21.7167,70.92,30,5,7.38
181,Kalevala,RU,2022-12-01 01:45:42,65.2,31.1667,24.1,97,100,4.09
182,San Cristobal,VE,2022-12-01 01:45:42,7.7669,-72.225,68.18,96,53,4.29
183,Yokadouma,CM,2022-12-01 01:45:42,3.5167,15.05,67.55,99,100,1.99
184,Leh,IN,2022-12-01 01:45:43,34.1667,77.5833,16.59,59,47,1.01
185,Guerrero Negro,MX,2022-12-01 01:45:43,27.9769,-114.0611,59.68,74,13,11.48
186,Tam Ky,VN,2022-12-01 01:45:43,15.5667,108.4833,79.77,78,52,2.98
187,Belaya Gora,RU,2022-12-01 01:45:44,68.5333,146.4167,-15.97,100,100,2.44
188,Isangel,VU,2022-12-01 01:45:44,-19.55,169.2667,85.41,67,91,10.69
189,Tura,IN,2022-12-01 01:45:45,25.5198,90.2201,67.03,76,1,2.21
190,Hirna,ET,2022-12-01 01:45:45,9.2167,41.1,54.52,59,0,0.94
191,Khomeyn,IR,2022-12-01 01:45:45,33.6423,50.0789,41.25,64,21,1.92
192,Mersing,MY,2022-12-01 01:45:46,2.4312,103.8405,78.71,89,40,5.75
193,Lawigan,PH,2022-12-01 01:45:46,10.487,122.0354,85.33,65,96,16.93
194,Coquimbo,CL,2022-12-01 01:45:46,-29.9533,-71.3436,62.33,82,100,5.75
195,Noumea,NC,2022-12-01 01:43:23,-22.2763,166.4572,94.98,78,43,6.91
196,Calama,CL,2022-12-01 01:45:01,-22.4667,-68.9333,55.89,30,0,13.8
197,Coihaique,CL,2022-12-01 01:45:47,-45.5752,-72.0662,49.95,53,0,4.61
198,Saint George,US,2022-12-01 01:42:19,37.1041,-113.5841,50.95,32,0,7.0
199,Khomutovo,RU,2022-12-01 01:45:48,52.4658,104.4025,-1.39,95,99,3.15
200,Shingu,JP,2022-12-01 01:45:48,33.7333,135.9833,52.97,49,80,3.69
201,Hithadhoo,MV,2022-12-01 01:45:48,-0.6,73.0833,80.94,69,65,7.34
202,Bud,US,2022-12-01 01:45:49,39.447,-86.1758,30.45,70,0,13.58
203,Qadirpur Ran,PK,2022-12-01 01:45:49,30.2924,71.6712,51.69,25,5,2.8
204,Tautira,PF,2022-12-01 01:45:50,-17.7333,-149.15,78.53,82,26,14.05
205,San Patricio,US,2022-12-01 01:45:50,28.017,-97.5169,59.85,57,3,10.87
206,Kalmunai,LK,2022-12-01 01:45:51,7.4167,81.8167,77.97,84,100,2.89
207,Rio Grande,BR,2022-12-01 01:45:51,-32.035,-52.0986,70.88,91,95,16.84
208,Bambanglipuro,ID,2022-12-01 01:45:51,-7.95,110.2833,82.26,67,100,5.75
209,Mar Del Plata,AR,2022-12-01 01:45:52,-38.0023,-57.5575,64.09,99,100,12.66
210,Kodinsk,RU,2022-12-01 01:45:52,58.6881,99.1844,1.74,95,100,8.19
211,Anadyr,RU,2022-12-01 01:45:52,64.75,177.4833,32.5,80,20,29.08
212,Sibu,MY,2022-12-01 01:45:53,2.3,111.8167,79.11,83,40,5.01
213,Arraial Do Cabo,BR,2022-12-01 01:45:53,-22.9661,-42.0278,74.23,91,100,24.05
214,Abha,SA,2022-12-01 01:41:01,18.2164,42.5053,50.25,87,0,0.0
215,Ahipara,NZ,2022-12-01 01:43:44,-35.1667,173.1667,63.28,65,98,14.63
216,Zyryanka,RU,2022-12-01 01:45:54,65.75,150.85,-16.04,96,100,10.09
217,Roebourne,AU,2022-12-01 01:45:54,-20.7833,117.1333,94.32,29,8,6.08
218,Mount Gambier,AU,2022-12-01 01:44:07,-37.8333,140.7667,66.51,56,46,10.42
219,Sumenep,ID,2022-12-01 01:45:55,-7.0167,113.8667,84.02,69,58,5.77
220,Bilibino,RU,2022-12-01 01:45:55,68.0546,166.4372,10.72,93,100,5.26
221,Muisne,EC,2022-12-01 01:45:55,0.6,-80.0333,75.29,80,99,7.7
222,Constitucion,CL,2022-12-01 01:45:56,-35.3333,-72.4167,54.07,80,0,12.93
223,Dukhovnitskoye,RU,2022-12-01 01:46:56,52.4828,48.2137,19.63,87,31,6.58
224,Kailua,US,2022-12-01 01:46:57,21.4022,-157.7394,85.41,77,78,4.0
225,Tambo,PE,2022-12-01 01:46:57,-14.8,-73.9167,36.0,69,88,7.14
226,Ryotsu,JP,2022-12-01 01:46:57,38.0833,138.4333,40.28,96,100,9.64
227,Tabuny,RU,2022-12-01 01:46:58,52.7773,78.7896,-5.76,86,27,8.16
